date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,40,0,0,0
2021-04-01,Japan,0,125,0,0,0
2021-04-01,Sweden,0,10,0,0,0
2021-04-02,Afghanistan,0,32,8,0,0
2021-04-02,Japan,0,92,33,0,0
2021-04-02,Sweden,0,9,1,0,0
2021-04-03,Afghanistan,0,21,19,0,0
2021-04-03,Japan,0,68,57,0,0
2021-04-03,Sweden,0,9,1,0,0
2021-04-04,Afghanistan,0,17,23,0,0
2021-04-04,Japan,0,56,69,0,0
2021-04-04,Sweden,0,7,3,0,0
2021-04-05,Afghanistan,0,14,26,0,0
2021-04-05,Japan,0,38,87,0,0
2021-04-05,Sweden,0,6,4,0,0
2021-04-06,Afghanistan,0,9,31,0,0
2021-04-06,Japan,0,25,100,0,0
2021-04-06,Sweden,0,6,4,0,0
2021-04-07,Afghanistan,0,8,24,6,2
2021-04-07,Japan,0,21,71,14,19
2021-04-07,Sweden,0,5,4,0,1
2021-04-08,Afghanistan,0,6,15,10,9
2021-04-08,Japan,0,17,51,27,30
2021-04-08,Sweden,0,5,4,0,1
2021-04-09,Afghanistan,0,5,12,12,11
2021-04-09,Japan,0,14,42,32,37
2021-04-09,Sweden,0,4,3,1,2
2021-04-10,Afghanistan,0,4,10,14,12
2021-04-10,Japan,0,11,27,40,47
2021-04-10,Sweden,0,3,3,1,3
2021-04-11,Afghanistan,0,4,5,16,15
2021-04-11,Japan,0,10,15,47,53
2021-04-11,Sweden,0,3,3,1,3
2021-04-12,Afghanistan,0,3,5,16,16
2021-04-12,Japan,0,7,14,49,55
2021-04-12,Sweden,0,2,3,2,3
2021-04-13,Afghanistan,0,3,3,17,17
2021-04-13,Japan,0,5,12,51,57
2021-04-13,Sweden,0,2,3,2,3
2021-04-14,Afghanistan,0,3,2,18,17
2021-04-14,Japan,0,4,10,52,59
2021-04-14,Sweden,0,1,3,3,3
2021-04-15,Afghanistan,0,3,1,18,18
2021-04-15,Japan,0,4,7,53,61
2021-04-15,Sweden,0,1,2,3,4
2021-04-16,Afghanistan,0,2,2,18,18
2021-04-16,Japan,0,4,6,54,61
2021-04-16,Sweden,0,1,2,3,4
2021-04-17,Afghanistan,0,2,1,19,18
2021-04-17,Japan,0,4,3,54,64
2021-04-17,Sweden,0,1,1,4,4
2021-04-18,Afghanistan,0,2,1,19,18
2021-04-18,Japan,0,3,2,55,65
2021-04-18,Sweden,0,1,1,4,4
2021-04-19,Afghanistan,0,2,1,19,18
2021-04-19,Japan,0,3,1,55,66
2021-04-19,Sweden,0,1,0,4,5
2021-04-20,Afghanistan,0,2,1,19,18
2021-04-20,Japan,0,2,2,55,66
2021-04-20,Sweden,0,1,0,4,5
2021-04-21,Afghanistan,0,1,1,19,19
2021-04-21,Japan,0,2,2,55,66
2021-04-21,Sweden,0,1,0,4,5
2021-04-22,Afghanistan,2,1,1,19,17
2021-04-22,Japan,4,2,2,70,47
2021-04-22,Sweden,1,1,0,4,4
2021-04-23,Afghanistan,3,1,1,25,10
2021-04-23,Japan,6,2,1,79,37
2021-04-23,Sweden,1,1,0,4,4
2021-04-24,Afghanistan,4,1,1,26,8
2021-04-24,Japan,9,2,1,83,30
2021-04-24,Sweden,2,0,1,4,3
2021-04-25,Afghanistan,4,1,1,27,7
2021-04-25,Japan,12,2,0,90,21
2021-04-25,Sweden,2,0,1,5,2
2021-04-26,Afghanistan,4,1,0,30,5
2021-04-26,Japan,12,2,0,96,15
2021-04-26,Sweden,2,0,1,5,2
2021-04-27,Afghanistan,4,1,0,31,4
